"title","artist"
"Beacon","Doomtree"
"She's a Bad Girl","Slug-Go"
"You Should See Me in a Crown","We Rabbitz"
"Running with Scissors","Sizzy Rocket"
"Armageddon","H6LLB6ND6R"
"All Along the Watchtower","The Jimi Hendrix Experience"
"Casey's Last Ride","Emmylou Harris"
"Puccini: Tosca, Act I: Recondita Armonia","Maria Callas"
"Moirai's Choir","Delhiade France & Robot Koch"
"Trees (Instrumental)","Dr. Octagon"
"Heavy Balloon","Fiona Apple"
"The Sinister Minister","Béla Fleck & the Flecktones"
"Connected","Stereo MCs"
"Help Us, Save Us, Take Us Away","KMFDM"
"Voices Carry","'Til Tuesday"
"Paint It, Black","Ciara"
"Dirty","grandson"
"Get Real Paid","Beck"
"Goliath","Woodkid"
"All My Friends","The Revivalists"
"In a Gadda Da Vida","Slayer"
"War","Frankie Goes to Hollywood"
"Run Joe","Chuck Brown & the Soul Searchers"
"Gimme Sympathy","Metric"
"Came for the Low","ZHU & partywithray"
"I Wish I Was the Moon","Neko Case"
"Ghetto in the Sky","Aswad"
"Holy Ghost","Rare Essence"
"What Is Hip? (Live)","Tower of Power"
"Devil Devil","MILCK"
"Secret 77","Bad Brains"
"Wishing Well","Sananda Maitreya"
"This Wheel's on Fire","Siouxsie & the Banshees"
"History Repeating","Propellerheads & Shirley Bassey"
"Kick the Door","Betta Lemme"
"All the Clocks Are Broken","Cop Shoot Cop"
"Dancer in the Dark","Beborn Beton"
"If I Can't Dance","Sophie Ellis-Bextor"
"We Treat the Blindness","Strange Boutique"
"Mexican Radio","Wall of Voodoo"
"Straight, No Chaser","Miles Davis & John Coltrane"
"Down with Me","Yorxe"
"Big Spender","Shirley Bassey"
"Stained Glass (Mixed)","Fatum"
"KMAG YOYO","Hayes Carll"
"American Life","Primus"
"TROUBLE (feat. Nikki Williams)","Parov Stelar"
"More than You Know","Sonny Rollins & Thelonious Monk"
"Everglade","L7"
"Vendetta (feat. Krigarè)","UNSECRET"
"Black Sun (feat. Celldweller)","James Dooley"
"Use Me (long version)","Grace Jones"
"Shostakovich: Symphony #5 In D Minor","Royal Concertgebouw Orchestra: Bernard Haitink"
"Rumour Has It","Adele"
"The Bullpen","Dessa"
"Cousin Mary","John Coltrane"
"Shut Me Up","Mindless Self Indulgence"
"Repo Man","Iggy Pop"
"Gun Street Girl","Tom Waits"
"Back Doin' What We Do Best","Big Tony & the TF Crew"
"Marie Douceur, Marie Colère","Manon Hollander"
"Verdi: Rigoletto Act 3: La Donna è Mobile","Joan Sutherland, Luciano Pavarotti"
"My Ass Is on Fire","Mr. Bungle"
"Thieves in the Temple","Prince"
"Jimmy","M.I.A."
"Space Truckin'","Ministry"
"Your Love Was Strange","The Dramatics"
"Zeros","Desire"
"Poison in the Water","von Grey"
"Malpractice","Faith No More"
"Rock On","David Essex"
"Release Yo' Delf (Prodigy Remix)","Method Man"
"Boogie Stop Shuffle","Charles Mingus"
"California Love","2Pac"
"Dark Things","Adona"
"The Miracle","Suicidal Tendencies"
"Gyrate","Rezz, Quackson & Wreckno"
"Midnight in a Perfect World","DJ Shadow"
"Lie to Me","Depeche Mode"
"Mendelssohn: Violin Concerto in E Minor","Yehudi Menuhin, Wilhelm Furtwängler"
"Guns of Brixton","Nouvelle Vague"
"It's a Fire","Portishead"
"Rock Me Tonite","Billy Squier"
"In Bloom","Sturgill Simpson"
"Wild Blue Yonder","Screaming Blue Messiahs"
"High Grade","Gentleman's Dub Club"
"Boogie Street","Leonard Cohen"
"Drink Before the War","Sinéad O'Connor"
"Pneuma","Tool"
"Stay and Decay","Unlike Pluto"
"Take the 'A' Train","Duke Ellington and His Orchestra"
"Changes","David Bowie"
"Bullet with Butterfly Wings","Karen O"
"Moments in Love","Art of Noise"
"The Man Comes Around","Johnny Cash"
"Time Is a Moment in Space","Wayne Smith"
"The Underside of Power","Algiers"
"(I Know You) Rider","The Seldom Scene"
"Blood in the Cut","K. Flay"
"Live Oak","Jason Isbell"
"Used to the Darkness","Des Rocs"
"Would I Lie to You?","Eurythmics"
"Sixty Eight Guns","The Alarm"
"Golden Days","Fanfare Ciocărlia"
"Kelma","Rachid Taha"
"Boom Boom Mancini","Warren Zevon"
"Small Town","Morcheeba"
"Mezzanine","Massive Attack"
"Heart-Shaped Box","Ramin Djawadi"
"I Put a Spell on You","Natacha Atlas"
"Buenos Aires","Patti LuPone"
"Slippery People","Talking Heads"
"Nia Long (Instrumental)","Shredders"
"10001110101","Clutch"
"Beethoven: Symphony #7 in A, Op. 92","Vienna Philharmonic: Carlos Kleiber"
"Wreath of Barbs","Wumpscut"
"Secret Journey","The Police"
"Heart of the City (Ain't No Love)","Jay-Z"
"I Wanna Be Your Dog","Joan Jett & the Blackhearts"
"Shake It Like a White Girl","E.U."
"Flesh Without Blood","Grimes"
"Mozart: Symphonie Nr. 40 in G-moll","Berliner Philharmoniker: Karl Böhm"
"Space Lord","Monster Magnet"
"Edge of Seventeen","Stevie Nicks"
"Move on Up","Devon Russell"
"These Boots Are Made for Walkin'","Government Issue"
"The Breakup Song","Greg Kihn Band"
"Top Floor, Bottom Buzzer","Morphine"
"Givin Em What They Love","Janelle Monáe"
"Walking in the Rain","Flash and the Pan"
"Can't Get You Out of My Head","Kylie Minogue"
"Hey Pretty","Poe"
"Holy Diver","Dio"
"Dress","P.J. Harvey"
"Estimated Prophet","Burning Spear"
"Dog Star Girl","Debbie Harry"
"Beethoven: Symphony #9 in D Minor","Chicago Symphony Orchestra: Georg Solti"
"Do I Wanna Know?","Arctic Monkeys"
"Hazy Shade of Winter","The Bangles"
"Bad Things","Summer Kennedy"
"Mississippi Goddam","Nina Simone"
"Boombayah","BLACKPINK"
"'Round Midnight","Thelonious Monk"
"Came Back Haunted","Nine Inch Nails"
"Wizard","Dora Jar"
"Killing Me Softly","Roberta Flack"
"Black Steel in the Hour of Chaos","Public Enemy"
"Patola","Guru Randhawa"
"Burn My Shadow","UNKLE"
"Sway","Julie London"
"Precious Things","Tori Amos"
"Control","Spoek Mathambo"
"Ghetto Defendant","The Clash"
"Brothers in Arms","Dire Straits"
"Threw It All Away","The Jacks"
"Chhote Chhote Peg","Yo Yo Honey Singh, Neha Kakkar"
"E Flat Boogie","Trouble Funk"
"The Fall of the World's Own Optimist","Aimee Mann"
"Puccini: La Bohème, Act I: O Soave Fanciulla","Luciano Pavarotti, Mirella Freni"
"Monkey Man","The Rolling Stones"
